Model,Accuracy,Precision,Recall,F1-Score,AUC,Method
Logistic Regression,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.9041241496598639,Baseline
Decision Tree,0.8781512605042017,0.8818897637795275,0.8888888888888888,0.8853754940711462,0.8774801587301587,Baseline
Random Forest,0.9159663865546218,0.9344262295081968,0.9047619047619048,0.9193548387096774,0.9736040249433106,Baseline
SVM,0.8823529411764706,0.8656716417910447,0.9206349206349206,0.8923076923076924,0.9351969954648527,Baseline
Logistic Regression,0.8319327731092437,0.8257575757575758,0.8650793650793651,0.8449612403100775,0.9067460317460317,GridSearchCV
Decision Tree,0.8781512605042017,0.8818897637795275,0.8888888888888888,0.8853754940711462,0.8774801587301587,GridSearchCV
Random Forest,0.9285714285714286,0.936,0.9285714285714286,0.9322709163346613,0.9715844671201814,GridSearchCV
SVM,0.907563025210084,0.9193548387096774,0.9047619047619048,0.912,0.9207766439909297,GridSearchCV
Logistic Regression,0.8487394957983193,0.8515625,0.8650793650793651,0.8582677165354331,0.9078089569160998,RandomizedSearchCV
Decision Tree,0.865546218487395,0.8790322580645161,0.8650793650793651,0.872,0.8796060090702947,RandomizedSearchCV
Random Forest,0.9159663865546218,0.9344262295081968,0.9047619047619048,0.9193548387096774,0.9736040249433106,RandomizedSearchCV
SVM,0.8907563025210085,0.9166666666666666,0.873015873015873,0.8943089430894309,0.9163123582766439,RandomizedSearchCV
